adw-gtk-theme 6.5-1
alacritty 0.17.0-1
alsa-firmware 1.2.4-4
alsa-ucm-conf 1.2.16.1-1
archlinuxcn-keyring 20260505-1
baobab 50.0-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bazaar 0.9.1-1
bluetui 0.8.1-2
bluez 5.87-2
brave-bin 1:1.92.141-1
breeze-cursors 6.7.3-1
btop 1.4.7-1
btrfs-assistant 2.2-5
btrfs-progs 7.1-1
calibre 9.11.0-3
cc-switch-cli 5.9.2-1
chromium 150.0.7871.128-1
chwd-arch-git 1.21.0.r6.gb38d13a-1
clash-verge-rev-bin 2.5.2-1
cliphist-tui-git r52.gd9b43bf-1
cmatrix 2.0-4
cnmplayer 0.4.0-1
dnsmasq 2.93-1
docker 1:29.6.2-1
easyeffects 8.2.7-1
egl-wayland 4:1.1.21-1
eza 0.23.5-2
fastfetch 2.66.0-1
fcitx5-configtool 5.1.14-1
fcitx5-gtk 5.1.7-1
fcitx5-mozc 3.34.6239.2-1
fcitx5-qt 5.1.14-1
fcitx5-rime 5.1.14-1
fcitx5-shorin-patched-git 5.1.20.r5.gd90014bd-1
fd 10.4.2-2
feishu-bin 7.66.11-1
ffmpegthumbnailer 2.3.0-1
file-roller 44.7-1
firefox 152.0.6-1
fish 4.8.1-1
flatpak 1:1.18.0-1
flatseal 2.4.1-1
flclash 0.8.94-3
fuzzel 1.14.1-1
fzf 0.74.1-1
gdu 5.36.1-1
gearlever 4.5.5-1
git 2.55.0-1
git-lfs 3.7.1-1
github-cli 2.96.0-1
gnome-calendar 50.0-2
gnome-clocks 50.0-2
gnome-font-viewer 50.0-1
gnome-keyring 1:50.0-1
gparted 1.8.1-2
greetd 0.10.3-2
grub 2:2.14-1
gst-libav 1.28.5-2
gst-plugin-va 1.28.5-2
gst-plugins-base 1.28.5-2
gst-plugins-good 1.28.5-2
gvfs-gphoto2 1.60.1-1
gvfs-mtp 1.60.1-1
gvfs-smb 1.60.1-1
icoextract 0.3.0-1
imagemagick 7.1.2.27-1
impala 0.7.4-1
imv 5.0.1-2
intel-lpmd 0.1.0-4
intel-media-driver 26.1.5-1
intel-ucode 20260512-1
iwd 3.12-1
jq 1.8.2-1
kitty 0.48.0-1
lact 0.9.1-1
lazygit 0.63.1-1
less 1:704-1
lib32-giflib 6.1.3-1
lib32-gst-plugins-base-libs 1.28.4-1
lib32-gtk3 1:3.24.52-1
lib32-libjpeg-turbo 3.2.0-1
lib32-mpg123 1.33.5-1
lib32-nvidia-utils 610.43.03-1
lib32-openal 1.25.2-1
lib32-opencl-nvidia 610.43.03-1
lib32-pipewire 1:1.6.8-1
lib32-vulkan-icd-loader 1.4.350.1-1
